編號,詞語,語源,義項,詞類,等級,標籤,TL,POJ,方言差,近義詞,反義詞,相關詞,附註,動詞變化,翻譯,,分類
40,七,,60,形,,,常和八連用成為詞組，用來表示強調或重複的意思。,,,,,,,tshit,chhit,https://sutian.moe.edu.tw/zh-hant/su/40/#60,數詞、量詞
40,七,,61,名,,,傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。,傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(chò-chhit)或是「做旬」(chò-sûn)，到七旬結束才算功德圓滿。,,,,,,tshit,chhit,https://sutian.moe.edu.tw/zh-hant/su/40/#61,數詞、量詞
41,九,,62,數,,,數字。,,,,,,,káu,káu,https://sutian.moe.edu.tw/zh-hant/su/41/#62,性質、程度|數詞、量詞
41,九,,63,形,,,形容多數。,,,,,,,káu,káu,https://sutian.moe.edu.tw/zh-hant/su/41/#63,性質、程度|數詞、量詞
42,九,,64,數,,,數字。,,,,,,,kiú,kiú,https://sutian.moe.edu.tw/zh-hant/su/42/#64,性質、程度|數詞、量詞
42,九,,23205,形,,,形容多數。,,,,,,,kiú,kiú,https://sutian.moe.edu.tw/zh-hant/su/42/#23205,性質、程度|數詞、量詞
43,了,,65,動,,,表示動作結束、完畢。或是表示動作的時間狀況。,,,60#101|2272#3150|3054#4214|7894#10948|10655#14598,,,,liáu,liáu,https://sutian.moe.edu.tw/zh-hant/su/43/#65,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞
43,了,,66,動,,,明白。,,,4210#5931|7673#10660|22132,,,,liáu,liáu,https://sutian.moe.edu.tw/zh-hant/su/43/#66,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞
43,了,,67,動,,,白費。,,,1850#2565|4238#5966,,,,liáu,liáu,https://sutian.moe.edu.tw/zh-hant/su/43/#67,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞
43,了,,68,動,,,賠錢、損失。,,,154#211|9503#13062|11467#15663,,,,liáu,liáu,https://sutian.moe.edu.tw/zh-hant/su/43/#68,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞
43,了,,69,助,,,用於動詞及補語間，表示動作得到補語的結果。,,,,,,,liáu,liáu,https://sutian.moe.edu.tw/zh-hant/su/43/#69,財務單位、活動|一般動詞-靜態動詞|助詞、嘆詞
44,二,,70,數,,,數字。,,V793,,,,,jī/lī,jī/lī,https://sutian.moe.edu.tw/zh-hant/su/44/#70,數詞、量詞
45,人,,71,名,,,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。,,,,,,,jîn/lîn,jîn/lîn,https://sutian.moe.edu.tw/zh-hant/su/45/#71,泛稱
45,人,,72,形,,,與人有關的。,,,,,,,jîn/lîn,jîn/lîn,https://sutian.moe.edu.tw/zh-hant/su/45/#72,泛稱
45,人,,73,名,,,具有某種身份或特徵的人。,,,,,,,jîn/lîn,jîn/lîn,https://sutian.moe.edu.tw/zh-hant/su/45/#73,泛稱
46,人,,74,名,,,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。,,,,,,,lâng,lâng,https://sutian.moe.edu.tw/zh-hant/su/46/#74,泛稱
46,人,,75,名,,,人家、別人。,,,,,,,lâng,lâng,https://sutian.moe.edu.tw/zh-hant/su/46/#75,泛稱
46,人,,76,名,,,具有某種身份或特徵的人。,,,,,,,lâng,lâng,https://sutian.moe.edu.tw/zh-hant/su/46/#76,泛稱
46,人,,77,代,,,借稱自己。,,,,,,,lâng,lâng,https://sutian.moe.edu.tw/zh-hant/su/46/#77,泛稱
46,人,,78,名,,,與人有關的事，如人的品格、個性、身體狀況等。,,,,,,,lâng,lâng,https://sutian.moe.edu.tw/zh-hant/su/46/#78,泛稱
47,入,,79,動,,,進。從外面進到裡面。,,,,1378#1894|6676#9293,,,ji̍p/li̍p,ji̍p/li̍p,https://sutian.moe.edu.tw/zh-hant/su/47/#79,財務單位、活動|一般動詞-行為動詞
47,入,,80,動,,,裝進。,,,,,,,ji̍p/li̍p,ji̍p/li̍p,https://sutian.moe.edu.tw/zh-hant/su/47/#80,財務單位、活動|一般動詞-行為動詞
47,入,,81,動,,,收進帳款。,,,,,,,ji̍p/li̍p,ji̍p/li̍p,https://sutian.moe.edu.tw/zh-hant/su/47/#81,財務單位、活動|一般動詞-行為動詞
48,八,,82,數,,,數字。,,,,,,,pat,pat,https://sutian.moe.edu.tw/zh-hant/su/48/#82,數詞、量詞
49,八,,83,數,,,數字。,,,,,,,peh/pueh,peh/poeh,https://sutian.moe.edu.tw/zh-hant/su/49/#83,數詞、量詞
50,刀,,84,名,,,供切、削、剪、刻、割、斬等用途的工具。,,,81#126,,,,to,to,https://sutian.moe.edu.tw/zh-hant/su/50/#84,生活用品|數詞、量詞
50,刀,,85,量,,,計算切割次數的單位。,,,,,,,to,to,https://sutian.moe.edu.tw/zh-hant/su/50/#85,生活用品|數詞、量詞
50,刀,,86,量,,,計算紙張的單位；通常一百張為一刀。,,,,,,,to,to,https://sutian.moe.edu.tw/zh-hant/su/50/#86,生活用品|數詞、量詞
51,刁,,87,動,,,刁難、為難。,,,84#129|159#219|5212#7305|29383#23032,,,,tiau,tiau,https://sutian.moe.edu.tw/zh-hant/su/51/#87,心理狀態|待人處事
51,刁,,88,動,,,故意。,,,,,,,tiau,tiau,https://sutian.moe.edu.tw/zh-hant/su/51/#88,心理狀態|待人處事
52,力,,89,名,,,力量、氣力。,,,6157#8622,,,,la̍t,la̍t,https://sutian.moe.edu.tw/zh-hant/su/52/#89,反應、表情
53,力,,90,名,,,力量、氣力。,,,,,,,li̍k,le̍k,https://sutian.moe.edu.tw/zh-hant/su/53/#90,事、物泛稱
53,力,,91,名,,,泛指一切事物所具有的效能或作用。,,,,,,,li̍k,le̍k,https://sutian.moe.edu.tw/zh-hant/su/53/#91,事、物泛稱
54,十,,92,數,,,數目。,,,,,,,tsa̍p,cha̍p,https://sutian.moe.edu.tw/zh-hant/su/54/#92,性質、程度|數詞、量詞
54,十,,93,形,,,比喻很多、完全。,,,,,,,tsa̍p,cha̍p,https://sutian.moe.edu.tw/zh-hant/su/54/#93,性質、程度|數詞、量詞
55,十,,94,數,,,數字。,,,,,,,si̍p,si̍p,https://sutian.moe.edu.tw/zh-hant/su/55/#94,性質、程度|數詞、量詞
55,十,,95,形,,,比喻完全、非常。,,,,,,,si̍p,si̍p,https://sutian.moe.edu.tw/zh-hant/su/55/#95,性質、程度|數詞、量詞
55,十,,96,形,,,像十的字形的。,,,,,,,si̍p,si̍p,https://sutian.moe.edu.tw/zh-hant/su/55/#96,性質、程度|數詞、量詞
56,卜,,97,動,,,試試看。,,,,,,,poh,poh,https://sutian.moe.edu.tw/zh-hant/su/56/#97,宗族、家庭|心理活動|相關器具、活動
57,卜,,98,動,,,卜卦、占卜。,,,,,,,pok,pok,https://sutian.moe.edu.tw/zh-hant/su/57/#98,宗族、家庭|心理活動|相關器具、活動
58,又,,99,副,,,再、復。,,,10907#14927,,,,iū,iū,https://sutian.moe.edu.tw/zh-hant/su/58/#99,副詞
59,十一哥,,100,名,,,單身漢。,,V623,11787#16079|12828#17436|19519|19972,,,,tsa̍p-it-ko,cha̍p-it-ko,https://sutian.moe.edu.tw/zh-hant/su/59/#100,泛稱|性別、婚姻
60,了了,,101,副,,,光光、窮盡、完全沒有了。當作動詞補語。,,,43#65|4379#6167,,,,liáu-liáu,liáu-liáu,https://sutian.moe.edu.tw/zh-hant/su/60/#101,境況、狀態-擬事|副詞
61,了了,,102,形,,,全都是。表示數量多或加強語氣。,,,,,,,--liáu-liáu,--liáu-liáu,https://sutian.moe.edu.tw/zh-hant/su/61/#102,境況、狀態-擬事|副詞
62,人人,,103,名,,,每一個人。,,,,,,,lâng-lâng,lâng-lâng,https://sutian.moe.edu.tw/zh-hant/su/62/#103,泛稱
63,十二分,,104,形,,,非常、很。用來形容程度極深。,,,3391#4735|10054#13802,,,,tsa̍p-jī-hun/tsa̍p-lī-hun,cha̍p-jī-hun/cha̍p-lī-hun,https://sutian.moe.edu.tw/zh-hant/su/63/#104,性質、程度
64,十二生相,,105,名,,,十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。,,,,,,,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,cha̍p-jī seⁿ-siùⁿ/cha̍p-lī siⁿ-siùⁿ,https://sutian.moe.edu.tw/zh-hant/su/64/#105,神明、鬼怪、教派
64,十二生相,,106,名,,,各行各業。,,,,,,,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,cha̍p-jī seⁿ-siùⁿ/cha̍p-lī siⁿ-siùⁿ,https://sutian.moe.edu.tw/zh-hant/su/64/#106,神明、鬼怪、教派
65,十二指腸,,107,名,,,小腸的上段部分，上接胃，下連空腸，長度大約是十二個指頭長，形狀為Ｃ形，是小腸最主要的吸收養分的地方。,,,,,,,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,si̍p-jī-chí-tn̂g/si̍p-lī-chí-tn̂g,https://sutian.moe.edu.tw/zh-hant/su/65/#107,生理構造
66,二九暝,,108,名,,,除夕、大年夜。,,,,,,,Jī-káu-mê/Lī-káu-mî,Jī-káu-mê/Lī-káu-mî,https://sutian.moe.edu.tw/zh-hant/su/66/#108,時間節令
67,十八骰仔,,109,名,,,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,,,10923#14954|11093#15168|17734,,,,si̍p-pat-tâu-á,si̍p-pat-tâu-á,https://sutian.moe.edu.tw/zh-hant/su/67/#109,休閒、娛樂
68,十八變,,110,形,,,十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。,,,,,,,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,cha̍p-peh-piàn/cha̍p-poeh-piàn,https://sutian.moe.edu.tw/zh-hant/su/68/#110,才智能力|形貌、體積|境況、狀態-擬事
