編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
607,勻勻仔火,,ûn-ûn-á-hué/ûn-ûn-á-hé,ûn-ûn-á-hóe/ûn-ûn-á-hé,un5-un5-a2-hoe2/un5-un5-a2-he2,un5-un5-a2-hoe2/un5-un5-a2-he2,607(1).mp3,自然現象,主詞目
608,五分仔車,,gōo-hun-á-tshia,gō͘-hun-á-chhia,goo7-hun1-a2-tshia1,gou7-hun1-a2-chhia1,608(1).mp3,交通、運輸,主詞目
609,不中用,,put-tiòng-iōng,put-tiòng-iōng,put4-tiong3-iong7,put4-tiong3-iong7,609(1).mp3,泛稱|性質、程度,主詞目
610,五分車,,gōo-hun-tshia,gō͘-hun-chhia,goo7-hun1-tshia1,gou7-hun1-chhia1,610(1).mp3,交通、運輸,主詞目
611,不止,,put-tsí,put-chí,put4-chi2,put4-chi2,611(1).mp3,性質、程度|副詞,主詞目
612,中心,,tiong-sim,tiong-sim,tiong1-sim1,tiong1-sim1,612(1).mp3,空間方位,主詞目
613,井水,,tsénn-tsuí/tsínn-tsuí,chéⁿ-chúi/chíⁿ-chúi,chenn2-chui2/chinn2-chui2,cheⁿ2-chui2/chiⁿ2-chui2,613(1).mp3,生活用品|居住環境,主詞目
614,內心,,luē-sim,lōe-sim,lue7-sim1,loe7-sim1,614(1).mp3,心理狀態,主詞目
615,公文,,kong-bûn,kong-bûn,kong1-bun5,kong1-bun5,615(1).mp3,政治,主詞目
616,公斤,,kong-kin/kong-kun,kong-kin/kong-kun,kong1-kin1/kong1-kun1,kong1-kin1/kong1-kun1,616(1).mp3,數詞、量詞,主詞目
617,冇手,,phànn-tshiú,phàⁿ-chhiú,phann3-chhiu2,phaⁿ3-chhiu2,617(1).mp3,個性風格,主詞目
618,切手,,tshiat-tshiú,chhiat-chhiú,chhiat4-chhiu2,chhiat4-chhiu2,618(1).mp3,郵電、網路,主詞目
619,勼手,,kiu-tshiú,kiu-chhiú,kiu1-tshiu2,kiu1-chhiu2,619(1).mp3,一般動詞-行為動詞,主詞目
620,勼水,,kiu-tsuí,kiu-chúi,kiu1-tsui2,kiu1-tsui2,620(1).mp3,衣帽鞋襪,主詞目
621,勾引,,kau-ín,kau-ín,kau1-in2,kau1-in2,621(1).mp3,一般動詞-行為動詞,主詞目
622,六月天,,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,la̍k-goe̍h-thiⁿ/la̍k-ge̍h-thiⁿ,lak8-gueh8-thinn1/lak8-geh8-thinn1,lak8-goeh8-thinn1/lak8-geh8-thinn1,622(1).mp3,時間節令,主詞目
623,不止仔,,put-tsí-á,put-chí-á,put4-chi2-a2,put4-chi2-a2,623(1).mp3,副詞,主詞目
624,六月冬,,la̍k-gue̍h-tang/la̍k-ge̍h-tang,la̍k-goe̍h-tang/la̍k-ge̍h-tang,lak8-gueh8-tang1/lak8-geh8-tang1,lak8-goeh8-tang1/lak8-geh8-tang1,624(1).mp3,時間節令|蔬果作物|農林業,主詞目
625,五日節,,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,Gō͘-ji̍t-cheh/Gō͘-li̍t-choeh,Goo7-jit8-tseh4/Goo7-lit8-tsueh4,Gou7-jit8-cheh4/Gou7-lit8-tsoeh4,625(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
626,五月節,,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,Gō͘-goe̍h-cheh/Gō͘-ge̍h-choeh,Goo7-gueh8-tseh4/Goo7-geh8-tsueh4,Gou7-goeh8-cheh4/Gou7-geh8-tsoeh4,626(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
627,丑仔,,thiú-á,thiú-á,thiu2-a2,thiu2-a2,627(1).mp3,戲劇、音樂|休閒、娛樂,主詞目
628,今仔,,tann-á,taⁿ-á,tann1-a2,taⁿ1-a2,628(1).mp3,時間節令,主詞目
629,今仔日,,kin-á-ji̍t/kin-á-li̍t,kin-á-ji̍t/kin-á-li̍t,kin1-a2-jit8/kin1-a2-lit8,kin1-a2-jit8/kin1-a2-lit8,629(1).mp3,時間節令,主詞目
630,勻仔是,,ûn-á-sī,ûn-á-sī,un5-a2-si7,un5-a2-si7,630(1).mp3,心理狀態,主詞目
